Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
permohonan aktiviti politik,Chrome 143.0.7499.170,,,06-01-2026 10:55:31,06-01-2026 10:56:45,1m - 13.795s,FAILED
,,,,,,,
Test Cases/Permohonan Aktiviti Politik/ketua-jabatan-approval,Chrome 143.0.7499.170,,,06-01-2026 10:55:32,06-01-2026 10:56:08,36.309s,FAILED
"openBrowser("""")",Chrome 143.0.7499.170,,,06-01-2026 10:55:33,06-01-2026 10:55:37,3.908s,PASSED
"navigateToUrl(""https://mbsphr-dev.veecotech.com.my/internal-login-hr"")",Chrome 143.0.7499.170,,,06-01-2026 10:55:37,06-01-2026 10:55:38,1.492s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik-approval/Page_MBSP - Log Masuk/input__no_ktgn""))",Chrome 143.0.7499.170,,,06-01-2026 10:55:38,06-01-2026 10:55:39,0.751s,PASSED
"setText(findTestObject(""Object Repository/permohonan-aktiviti-politik-approval/Page_MBSP - Log Masuk/input__no_ktgn""), ""30006"")",Chrome 143.0.7499.170,,,06-01-2026 10:55:39,06-01-2026 10:55:49,10.663s,PASSED
"setEncryptedText(findTestObject(""Object Repository/permohonan-aktiviti-politik-approval/Page_MBSP - Log Masuk/input__password""), ""ReS8CS55u3r9nXfefBFv2A=="")",Chrome 143.0.7499.170,,,06-01-2026 10:55:49,06-01-2026 10:55:50,0.506s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik-approval/Page_MBSP - Log Masuk/button__login_button""))",Chrome 143.0.7499.170,,,06-01-2026 10:55:50,06-01-2026 10:55:51,0.712s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik-approval/Page_MBSP - Dashboard/span_Lapor Diri_dash-mtext""))",Chrome 143.0.7499.170,,,06-01-2026 10:55:51,06-01-2026 10:55:55,4.027s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik-approval/Page_MBSP - Dashboard/span_Permohonan TanahSaham_dash-mtext""))",Chrome 143.0.7499.170,,,06-01-2026 10:55:55,06-01-2026 10:55:56,1.709s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik-approval/Page_MBSP - Pemakluman Penglibatan Politik/button_Permohonan Saya_kelulusan-tab""))",Chrome 143.0.7499.170,,,06-01-2026 10:55:56,06-01-2026 10:55:58,1.365s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik-approval/Page_MBSP - Pemakluman Penglibatan Politik/a_Dalam Semakan_mx-3 btn btn-sm d-flex alig_e6527c""))",Chrome 143.0.7499.170,,,06-01-2026 10:55:58,06-01-2026 10:56:08,10.501s,FAILED
,,,,,,,
Test Cases/Permohonan Aktiviti Politik/Staff-mohon,Chrome 143.0.7499.170,,,06-01-2026 10:56:08,06-01-2026 10:56:45,36.280s,PASSED
"openBrowser("""")",Chrome 143.0.7499.170,,,06-01-2026 10:56:08,06-01-2026 10:56:10,1.807s,PASSED
closeBrowser(),Chrome 143.0.7499.170,,,06-01-2026 10:56:10,06-01-2026 10:56:10,0.238s,PASSED
"openBrowser("""")",Chrome 143.0.7499.170,,,06-01-2026 10:56:10,06-01-2026 10:56:12,1.178s,PASSED
"navigateToUrl(""https://mbsphr-dev.veecotech.com.my/internal-login-hr"")",Chrome 143.0.7499.170,,,06-01-2026 10:56:12,06-01-2026 10:56:13,1.325s,PASSED
"setText(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Log Masuk/input__no_ktgn""), ""99999"")",Chrome 143.0.7499.170,,,06-01-2026 10:56:13,06-01-2026 10:56:14,0.962s,PASSED
"setEncryptedText(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Log Masuk/input__password""), ""ReS8CS55u3r9nXfefBFv2A=="")",Chrome 143.0.7499.170,,,06-01-2026 10:56:14,06-01-2026 10:56:15,0.861s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Log Masuk/button__login_button""))",Chrome 143.0.7499.170,,,06-01-2026 10:56:15,06-01-2026 10:56:18,3.575s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Dashboard/a__dash-head-link arrow-none me-0""))",Chrome 143.0.7499.170,,,06-01-2026 10:56:18,06-01-2026 10:56:19,0.605s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Dashboard/span_Analisis_dash-mtext""))",Chrome 143.0.7499.170,,,06-01-2026 10:56:19,06-01-2026 10:56:21,2.404s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Dashboard/span_Permohonan TanahSaham_dash-mtext""))",Chrome 143.0.7499.170,,,06-01-2026 10:56:21,06-01-2026 10:56:23,1.816s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Pemakluman Penglibatan Politik/span""))",Chrome 143.0.7499.170,,,06-01-2026 10:56:23,06-01-2026 10:56:25,2.112s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Permohonan Baru Aktiviti Politik/select__application_type""), ""hold_party_office"", true)",Chrome 143.0.7499.170,,,06-01-2026 10:56:25,06-01-2026 10:56:27,1.626s,PASSED
"setText(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Permohonan Baru Aktiviti Politik/input__party_name""), ""UMNO"")",Chrome 143.0.7499.170,,,06-01-2026 10:56:27,06-01-2026 10:56:28,1.258s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Permohonan Baru Aktiviti Politik/input_Perakuan_acknowledge""))",Chrome 143.0.7499.170,,,06-01-2026 10:56:28,06-01-2026 10:56:29,0.492s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Permohonan Baru Aktiviti Politik/button_Batal_btn btn-primary px-4""))",Chrome 143.0.7499.170,,,06-01-2026 10:56:29,06-01-2026 10:56:32,3.424s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Pemakluman Penglibatan Politik/a__mx-3 btn btn-sm d-flex align-items-cente_89f6a6""))",Chrome 143.0.7499.170,,,06-01-2026 10:56:32,06-01-2026 10:56:33,1.350s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Pemakluman Penglibatan Politik/button_Lihat Butiran Pemakluman Penglibatan_bf6d77""))",Chrome 143.0.7499.170,,,06-01-2026 10:56:33,06-01-2026 10:56:35,1.226s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Pemakluman Penglibatan Politik/a__btn btn-sm btn-icon d-flex align-items-c_163dfb""))",Chrome 143.0.7499.170,,,06-01-2026 10:56:35,06-01-2026 10:56:36,1.536s,PASSED
"setText(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Kemaskini Permohonan Aktiviti Politik/input__party_name""), ""BN"")",Chrome 143.0.7499.170,,,06-01-2026 10:56:36,06-01-2026 10:56:38,1.516s,PASSED
"click(findTestObject(""Object Repository/permohonan-aktiviti-politik/Page_MBSP - Kemaskini Permohonan Aktiviti Politik/button_Kembali_btnSubmit""))",Chrome 143.0.7499.170,,,06-01-2026 10:56:38,06-01-2026 10:56:39,0.760s,PASSED
