Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
permohonan aktiviti politik,Chrome 143.0.7499.170,,,06-01-2026 13:12:06,06-01-2026 13:17:45,5m - 38.708s,FAILED
,,,,,,,
Test Cases/Permohonan Aktiviti Politik/jana surat,Chrome 143.0.7499.170,,,06-01-2026 13:12:07,06-01-2026 13:12:31,23.871s,FAILED
"openBrowser("""")",Chrome 143.0.7499.170,,,06-01-2026 13:12:08,06-01-2026 13:12:11,3.198s,PASSED
"navigateToUrl(""https://mbsphr-dev.veecotech.com.my/internal-login-hr"")",Chrome 143.0.7499.170,,,06-01-2026 13:12:11,06-01-2026 13:12:13,1.333s,PASSED
"setText(findTestObject(""Object Repository/PAP-jana surat/Page_MBSP - Log Masuk/input__no_ktgn""), ""11111"")",Chrome 143.0.7499.170,,,06-01-2026 13:12:13,06-01-2026 13:12:14,1.029s,PASSED
"setEncryptedText(findTestObject(""Object Repository/PAP-jana surat/Page_MBSP - Log Masuk/input__password""), ""ReS8CS55u3r9nXfefBFv2A=="")",Chrome 143.0.7499.170,,,06-01-2026 13:12:14,06-01-2026 13:12:14,0.405s,PASSED
"click(findTestObject(""Object Repository/PAP-jana surat/Page_MBSP - Log Masuk/button__login_button""))",Chrome 143.0.7499.170,,,06-01-2026 13:12:14,06-01-2026 13:12:15,0.374s,PASSED
"click(findTestObject(""Object Repository/PAP-jana surat/Page_MBSP - Dashboard/span_Lapor Diri_dash-mtext""))",Chrome 143.0.7499.170,,,06-01-2026 13:12:15,06-01-2026 13:12:18,3.747s,PASSED
"click(findTestObject(""Object Repository/PAP-jana surat/Page_MBSP - Dashboard/span_Permohonan TanahSaham_dash-mtext""))",Chrome 143.0.7499.170,,,06-01-2026 13:12:18,06-01-2026 13:12:20,1.306s,PASSED
"click(findTestObject(""Object Repository/PAP-jana surat/Page_MBSP - Pemakluman Penglibatan Politik/a__mx-3 btn btn-sm d-flex align-items-cente_89f6a6""))",Chrome 143.0.7499.170,,,06-01-2026 13:12:20,06-01-2026 13:12:21,1.125s,PASSED
"click(findTestObject(""Object Repository/PAP-jana surat/Page_MBSP - Pemakluman Penglibatan Politik/a_Muat Turun Surat Kelulusan_btn btn-outlin_f75eb4""))",Chrome 143.0.7499.170,,,06-01-2026 13:12:21,06-01-2026 13:12:31,10.603s,FAILED
,,,,,,,
Test Cases/Permohonan Aktiviti Politik/staff-approval stage (all approved),Chrome 143.0.7499.170,,,06-01-2026 13:12:31,06-01-2026 13:13:37,1m - 5.918s,PASSED
"openBrowser("""")",Chrome 143.0.7499.170,,,06-01-2026 13:12:31,06-01-2026 13:12:33,1.735s,PASSED
"navigateToUrl(""https://mbsphr-dev.veecotech.com.my/internal-login-hr"")",Chrome 143.0.7499.170,,,06-01-2026 13:12:33,06-01-2026 13:12:34,1.129s,PASSED
"click(findTestObject(""Object Repository/PAP-ALL/Page_MBSP - Log Masuk/input__no_ktgn""))",Chrome 143.0.7499.170,,,06-01-2026 13:12:34,06-01-2026 13:12:35,0.520s,PASSED
"setText(findTestObject(""Object Repository/PAP-ALL/Page_MBSP - Log Masuk/input__no_ktgn""), ""99999"")",Chrome 143.0.7499.170,,,06-01-2026 13:12:35,06-01-2026 13:12:36,0.660s,PASSED
"setEncryptedText(findTestObject(""Object Repository/PAP-ALL/Page_MBSP - Log Masuk/input__password""), ""ReS8CS55u3r9nXfefBFv2A=="")",Chrome 143.0.7499.170,,,06-01-2026 13:12:36,06-01-2026 13:12:36,0.411s,PASSED
