Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
permohonan aktiviti politik,Chrome 143.0.7499.170,,,06-01-2026 13:19:48,06-01-2026 13:20:47,58.333s,FAILED
,,,,,,,
Test Cases/Permohonan Aktiviti Politik/jana surat,Chrome 143.0.7499.170,,,06-01-2026 13:19:49,06-01-2026 13:20:12,22.971s,FAILED
"openBrowser("""")",Chrome 143.0.7499.170,,,06-01-2026 13:19:50,06-01-2026 13:19:52,2.681s,PASSED
"navigateToUrl(""https://mbsphr-dev.veecotech.com.my/internal-login-hr"")",Chrome 143.0.7499.170,,,06-01-2026 13:19:52,06-01-2026 13:19:54,1.316s,PASSED
"setText(findTestObject(""Object Repository/PAP-jana surat/Page_MBSP - Log Masuk/input__no_ktgn""), ""11111"")",Chrome 143.0.7499.170,,,06-01-2026 13:19:54,06-01-2026 13:19:55,1.108s,PASSED
"setEncryptedText(findTestObject(""Object Repository/PAP-jana surat/Page_MBSP - Log Masuk/input__password""), ""ReS8CS55u3r9nXfefBFv2A=="")",Chrome 143.0.7499.170,,,06-01-2026 13:19:55,06-01-2026 13:19:55,0.453s,PASSED
"click(findTestObject(""Object Repository/PAP-jana surat/Page_MBSP - Log Masuk/button__login_button""))",Chrome 143.0.7499.170,,,06-01-2026 13:19:55,06-01-2026 13:19:59,3.346s,PASSED
"click(findTestObject(""Object Repository/PAP-jana surat/Page_MBSP - Dashboard/span_Lapor Diri_dash-mtext""))",Chrome 143.0.7499.170,,,06-01-2026 13:19:59,06-01-2026 13:19:59,0.604s,PASSED
"click(findTestObject(""Object Repository/PAP-jana surat/Page_MBSP - Dashboard/span_Permohonan TanahSaham_dash-mtext""))",Chrome 143.0.7499.170,,,06-01-2026 13:19:59,06-01-2026 13:20:01,1.325s,PASSED
"click(findTestObject(""Object Repository/PAP-jana surat/Page_MBSP - Pemakluman Penglibatan Politik/a__mx-3 btn btn-sm d-flex align-items-cente_89f6a6""))",Chrome 143.0.7499.170,,,06-01-2026 13:20:01,06-01-2026 13:20:02,1.056s,PASSED
"click(findTestObject(""Object Repository/PAP-jana surat/Page_MBSP - Pemakluman Penglibatan Politik/a_Muat Turun Surat Kelulusan_btn btn-outlin_f75eb4""))",Chrome 143.0.7499.170,,,06-01-2026 13:20:02,06-01-2026 13:20:12,10.396s,FAILED
,,,,,,,
Test Cases/Permohonan Aktiviti Politik/staff-approval stage (kj reject),Chrome 143.0.7499.170,,,06-01-2026 13:20:12,06-01-2026 13:20:46,34.399s,PASSED
"openBrowser("""")",Chrome 143.0.7499.170,,,06-01-2026 13:20:12,06-01-2026 13:20:14,1.496s,PASSED
"navigateToUrl(""https://mbsphr-dev.veecotech.com.my/internal-login-hr"")",Chrome 143.0.7499.170,,,06-01-2026 13:20:14,06-01-2026 13:20:15,1.442s,PASSED
"setText(findTestObject(""Object Repository/PAP-ALL (KJ REJECT)/Page_MBSP - Log Masuk/input__no_ktgn""), ""11111"")",Chrome 143.0.7499.170,,,06-01-2026 13:20:15,06-01-2026 13:20:16,0.791s,PASSED
